time(s),dP1(Pa)
1519510894.782215,  0.545818
1519510894.811508,  0.545818
1519510894.840759,  0.569550
1519510894.869959,  0.545818
1519510894.899172,  0.617012
1519510894.928371,  0.569550
1519510894.957585,  0.569550
1519510894.986784,  0.593281
1519510895.016004,  0.569550
1519510895.045218,  0.593281
1519510895.074436,  0.569550
1519510895.103653,  0.593281
1519510895.132871,  0.593281
1519510895.162074,  0.593281
1519510895.191305,  0.569550
1519510895.220508,  0.593281
1519510895.249722,  0.545818
1519510895.278938,  0.593281
1519510895.308147,  0.593281
1519510895.337364,  0.569550
1519510895.366572,  0.569550
1519510895.395775,  0.640743
1519510895.424997,  0.617012
1519510895.454208,  0.593281
1519510895.483415,  0.593281
1519510895.512626,  0.569550
1519510895.541838,  0.617012
1519510895.571063,  0.569550
1519510895.600271,  0.569550
1519510895.629473,  0.593281
1519510895.658683,  0.593281
1519510895.687881,  0.617012
1519510895.717100,  0.545818
1519510895.746319,  0.640743
1519510895.775544,  0.617012
1519510895.804758,  0.569550
1519510895.833975,  0.640743
1519510895.863193,  0.617012
1519510895.892408,  0.569550
1519510895.921617,  0.617012
1519510895.950822,  0.617012
1519510895.980027,  0.640743
1519510896.009242,  0.569550
1519510896.038449,  0.569550
1519510896.067654,  0.664474
1519510896.096858,  0.617012
1519510896.126061,  0.617012
1519510896.155269,  0.664474
1519510896.184478,  0.640743
1519510896.213690,  0.664474
1519510896.242917,  0.617012
1519510896.272188,  0.640743
1519510896.301436,  0.617012
1519510896.330647,  0.617012
1519510896.359860,  0.688206
1519510896.389063,  0.664474
1519510896.418264,  0.593281
1519510896.447462,  0.640743
1519510896.476662,  0.640743
1519510896.505867,  0.640743
1519510896.535073,  0.593281
1519510896.564279,  0.617012
1519510896.593480,  0.617012
1519510896.622695,  0.617012
1519510896.651901,  0.688206
1519510896.681107,  0.664474
1519510896.710318,  0.617012
1519510896.739537,  0.711937
1519510896.768737,  0.617012
1519510896.797951,  0.640743
1519510896.827160,  0.688206
1519510896.856368,  0.664474
1519510896.885581,  0.664474
1519510896.914793,  0.640743
1519510896.943998,  0.640743
1519510896.973207,  0.688206
1519510897.002418,  0.664474
1519510897.031613,  0.664474
1519510897.060822,  0.688206
1519510897.090031,  0.593281
1519510897.119240,  0.617012
1519510897.148458,  0.688206
1519510897.177680,  0.640743
1519510897.206889,  0.640743
1519510897.236094,  0.640743
1519510897.265300,  0.664474
1519510897.294494,  0.640743
1519510897.323692,  0.664474
1519510897.352898,  0.640743
1519510897.382102,  0.735668
1519510897.411312,  0.664474
1519510897.440513,  0.617012
1519510897.469712,  0.688206
1519510897.498923,  0.688206
1519510897.528133,  0.640743
1519510897.557343,  0.617012
1519510897.586550,  0.688206
1519510897.615752,  0.664474
1519510897.644953,  0.617012
1519510897.674161,  0.617012
1519510897.703368,  0.640743
1519510897.732584,  0.569550
1519510897.761784,  0.664474
1519510897.791015,  0.664474
1519510897.820240,  0.617012
1519510897.849459,  0.688206
1519510897.878661,  0.688206
1519510897.907865,  0.688206
1519510897.937066,  0.735668
1519510897.966276,  0.593281
1519510897.995487,  0.640743
1519510898.024698,  0.617012
1519510898.053900,  0.664474
1519510898.083104,  0.664474
1519510898.112323,  0.688206
1519510898.141531,  0.640743
1519510898.170741,  0.640743
1519510898.199955,  0.711937
1519510898.229160,  0.688206
1519510898.258364,  0.640743
1519510898.287573,  0.617012
1519510898.316779,  0.664474
1519510898.345986,  0.711937
1519510898.375192,  0.688206
1519510898.404396,  0.688206
1519510898.433602,  0.688206
1519510898.462806,  0.664474
1519510898.491997,  0.688206
1519510898.521202,  0.711937
1519510898.550405,  0.617012
1519510898.579637,  0.735668
1519510898.608839,  0.640743
1519510898.638030,  0.617012
1519510898.667229,  0.664474
1519510898.696434,  0.688206
1519510898.725628,  0.735668
1519510898.754833,  0.664474
1519510898.784032,  0.664474
1519510898.813232,  0.664474
1519510898.842439,  0.664474
1519510898.871640,  0.688206
1519510898.900839,  0.688206
1519510898.930042,  0.617012
1519510898.959245,  0.688206
1519510898.988448,  0.664474
1519510899.017682,  0.640743
1519510899.046895,  0.664474
1519510899.076112,  0.640743
1519510899.105318,  0.688206
1519510899.134535,  0.664474
1519510899.163743,  0.640743
1519510899.192955,  0.617012
1519510899.222157,  0.640743
1519510899.251364,  0.664474
1519510899.280629,  0.617012
1519510899.309865,  0.688206
1519510899.339082,  0.640743
1519510899.368290,  0.640743
1519510899.397493,  0.688206
1519510899.426701,  0.711937
1519510899.455920,  0.640743
1519510899.485130,  0.640743
1519510899.514345,  0.640743
1519510899.543563,  0.664474
1519510899.572776,  0.664474
1519510899.601982,  0.640743
1519510899.631192,  0.640743
1519510899.660385,  0.688206
1519510899.689584,  0.688206
1519510899.718793,  0.664474
1519510899.748002,  0.664474
1519510899.777208,  0.664474
1519510899.806413,  0.735668
1519510899.835621,  0.664474
1519510899.864824,  0.664474
1519510899.894036,  0.688206
1519510899.923242,  0.664474
1519510899.952455,  0.735668
1519510899.981659,  0.640743
1519510900.010891,  0.688206
1519510900.040093,  0.735668
1519510900.069295,  0.664474
1519510900.098506,  0.688206
1519510900.127708,  0.569550
1519510900.156915,  0.640743
1519510900.186123,  0.711937
1519510900.215326,  0.711937
1519510900.244533,  0.617012
1519510900.273742,  0.569550
1519510900.302961,  0.711937
1519510900.332163,  0.664474
1519510900.361386,  0.711937
1519510900.390591,  0.688206
1519510900.419797,  0.640743
1519510900.449003,  0.688206
1519510900.478215,  0.688206
1519510900.507419,  0.640743
1519510900.536628,  0.640743
1519510900.565835,  0.688206
1519510900.595059,  0.664474
1519510900.624262,  0.664474
1519510900.653463,  0.688206
1519510900.682670,  0.664474
1519510900.711869,  0.617012
1519510900.741074,  0.688206
1519510900.770282,  0.617012
