time(s),dP1(Pa)
1519511461.997846,  0.735668
1519511462.027061,  0.735668
1519511462.056180,  0.735668
1519511462.085295,  0.735668
1519511462.114396,  0.783131
1519511462.143496,  0.735668
1519511462.172605,  0.759399
1519511462.201721,  0.783131
1519511462.230835,  0.735668
1519511462.259948,  0.711937
1519511462.289059,  0.759399
1519511462.318168,  0.901787
1519511462.347278,  0.949249
1519511462.376390,  0.830593
1519511462.405504,  0.830593
1519511462.434619,  0.854324
1519511462.463732,  0.759399
1519511462.492841,  0.711937
1519511462.521944,  0.735668
1519511462.551054,  0.759399
1519511462.580162,  0.688206
1519511462.609272,  0.711937
1519511462.638387,  0.688206
1519511462.667506,  0.664474
1519511462.696616,  0.593281
1519511462.725744,  0.640743
1519511462.754900,  0.545818
1519511462.784043,  0.522087
1519511462.813181,  0.688206
1519511462.842331,  0.522087
1519511462.871472,  0.688206
1519511462.900625,  0.664474
1519511462.929772,  0.735668
1519511462.958920,  0.711937
1519511462.988077,  0.783131
1519511463.017235,  0.783131
1519511463.046381,  0.735668
1519511463.075522,  0.830593
1519511463.104672,  0.878056
1519511463.133831,  0.735668
1519511463.162980,  0.593281
1519511463.192226,  0.545818
1519511463.221381,  0.593281
1519511463.250532,  0.355968
1519511463.279679,  0.355968
1519511463.308819,  0.569550
1519511463.337962,  0.427162
1519511463.367105,  0.593281
1519511463.396257,  0.545818
1519511463.425394,  0.498356
1519511463.454537,  0.522087
1519511463.483674,  0.545818
1519511463.512811,  0.474625
1519511463.541949,  0.569550
1519511463.571094,  0.664474
1519511463.600242,  0.474625
1519511463.629386,  0.545818
1519511463.658529,  0.545818
1519511463.687670,  0.522087
1519511463.716815,  0.522087
1519511463.745955,  0.878056
1519511463.775119,  0.759399
1519511463.804296,  0.854324
1519511463.833446,  0.925518
1519511463.862604,  0.972980
1519511463.891746,  1.020443
1519511463.920890,  0.996712
1519511463.950028,  0.617012
1519511463.979178,  1.115368
1519511464.008323,  1.234024
1519511464.037483,  0.854324
1519511464.066621,  1.091637
1519511464.095764,  0.949249
1519511464.124900,  0.901787
1519511464.154049,  0.830593
1519511464.183232,  0.830593
1519511464.212384,  0.783131
1519511464.241526,  0.688206
1519511464.270667,  0.664474
1519511464.299811,  0.664474
1519511464.328947,  0.640743
1519511464.358103,  0.806862
1519511464.387252,  0.522087
1519511464.416394,  0.189850
1519511464.445534,  0.593281
1519511464.474689,  0.617012
1519511464.503839,  -0.735668
1519511464.532968,  0.071194
1519511464.562182,  -0.332237
1519511464.591315,  -1.281487
1519511464.620445,  -1.257755
1519511464.649579,  -1.210293
1519511464.678707,  -1.898499
1519511464.707865,  -0.213581
1519511464.737022,  -0.688206
1519511464.766160,  -1.447605
1519511464.795295,  0.450893
1519511464.824427,  0.047462
1519511464.853566,  -0.142387
1519511464.882720,  0.640743
1519511464.911861,  0.522087
1519511464.941002,  0.023731
1519511464.970145,  0.427162
1519511464.999284,  0.617012
1519511465.028446,  -0.023731
1519511465.057585,  -0.213581
1519511465.086727,  0.000000
1519511465.115870,  0.071194
1519511465.145000,  -0.854324
1519511465.174149,  -0.213581
1519511465.203293,  -2.040886
1519511465.232427,  -1.210293
1519511465.261570,  0.094925
1519511465.290708,  -0.569550
1519511465.319855,  -0.237312
1519511465.348997,  0.284775
1519511465.378131,  0.664474
1519511465.407267,  0.332237
1519511465.436432,  0.569550
1519511465.465575,  0.498356
1519511465.494720,  0.664474
1519511465.523865,  0.806862
1519511465.552993,  0.569550
1519511465.582147,  0.427162
1519511465.611291,  0.806862
1519511465.640419,  0.878056
1519511465.669555,  0.213581
1519511465.698689,  0.640743
1519511465.727822,  0.688206
1519511465.756968,  0.522087
1519511465.786102,  0.545818
1519511465.815221,  0.783131
1519511465.844369,  0.735668
1519511465.873517,  0.878056
1519511465.902657,  0.783131
1519511465.931792,  0.806862
1519511465.960928,  0.735668
1519511465.990060,  0.830593
1519511466.019196,  0.664474
1519511466.048342,  0.617012
1519511466.077483,  0.711937
1519511466.106634,  0.545818
1519511466.135773,  0.688206
1519511466.164904,  0.854324
1519511466.194105,  0.878056
1519511466.223290,  0.759399
1519511466.252453,  0.759399
1519511466.281587,  0.735668
1519511466.310717,  0.783131
1519511466.339850,  0.735668
1519511466.368983,  0.806862
1519511466.398134,  0.901787
1519511466.427269,  0.878056
1519511466.456400,  0.783131
1519511466.485530,  0.830593
1519511466.514674,  0.830593
1519511466.543813,  0.830593
1519511466.572951,  0.688206
1519511466.602088,  0.735668
1519511466.631225,  0.783131
1519511466.660362,  0.735668
1519511466.689496,  0.854324
1519511466.718636,  0.759399
1519511466.747785,  0.878056
1519511466.776925,  0.830593
1519511466.806071,  0.830593
1519511466.835221,  0.878056
1519511466.864367,  0.735668
1519511466.893514,  0.759399
1519511466.922658,  0.925518
1519511466.951799,  0.854324
1519511466.980947,  0.783131
1519511467.010090,  0.925518
1519511467.039230,  0.925518
1519511467.068366,  0.711937
1519511467.097517,  0.830593
1519511467.126667,  0.854324
1519511467.155810,  0.735668
1519511467.184944,  0.688206
1519511467.214096,  0.806862
1519511467.243239,  0.783131
1519511467.272389,  0.569550
1519511467.301531,  0.379700
1519511467.330678,  0.593281
1519511467.359823,  0.142387
1519511467.388972,  0.545818
1519511467.418119,  0.617012
1519511467.447263,  0.545818
1519511467.476434,  0.735668
1519511467.505585,  0.688206
1519511467.534738,  0.711937
1519511467.563886,  0.735668
1519511467.593024,  0.688206
1519511467.622163,  0.688206
1519511467.651303,  0.664474
1519511467.680436,  0.735668
1519511467.709595,  0.759399
1519511467.738744,  0.664474
1519511467.767881,  0.711937
1519511467.797012,  0.711937
1519511467.826152,  0.688206
1519511467.855294,  0.806862
1519511467.884462,  0.759399
1519511467.913611,  0.688206
1519511467.942765,  0.759399
1519511467.971911,  0.830593
1519511468.001065,  0.854324
1519511468.030215,  0.854324
1519511468.059356,  0.830593
1519511468.088498,  0.783131
1519511468.117634,  0.783131
1519511468.146772,  0.854324
1519511468.175910,  0.830593
1519511468.205038,  0.806862
1519511468.234188,  0.806862
1519511468.263334,  0.830593
1519511468.292484,  0.806862
1519511468.321622,  0.854324
1519511468.350760,  0.806862
1519511468.379909,  0.830593
1519511468.409043,  0.783131
1519511468.438186,  0.830593
1519511468.467332,  0.830593
1519511468.496471,  0.806862
1519511468.525608,  0.878056
1519511468.554745,  0.901787
1519511468.583882,  0.806862
1519511468.613015,  0.806862
1519511468.642160,  0.854324
1519511468.671286,  0.830593
1519511468.700452,  0.783131
1519511468.729584,  0.806862
1519511468.758713,  0.759399
1519511468.787857,  0.759399
1519511468.817014,  0.806862
1519511468.846172,  0.759399
1519511468.875338,  0.759399
1519511468.904512,  0.806862
1519511468.933672,  0.806862
1519511468.962840,  0.830593
1519511468.992002,  0.735668
1519511469.021167,  0.735668
1519511469.050327,  0.759399
1519511469.079464,  0.830593
1519511469.108602,  0.759399
1519511469.137737,  0.711937
1519511469.166878,  0.213581
1519511469.196035,  0.261044
1519511469.225191,  0.355968
1519511469.254325,  0.617012
1519511469.283461,  0.522087
1519511469.312624,  0.379700
1519511469.341758,  0.664474
1519511469.370886,  0.664474
1519511469.400014,  0.640743
1519511469.429148,  0.806862
1519511469.458289,  0.759399
1519511469.487424,  0.806862
1519511469.516568,  0.806862
1519511469.545702,  0.830593
1519511469.574848,  0.878056
1519511469.603994,  0.759399
1519511469.633130,  0.735668
1519511469.662268,  0.735668
1519511469.691388,  0.617012
1519511469.720516,  0.664474
1519511469.749648,  0.640743
1519511469.778780,  0.355968
1519511469.807917,  0.593281
1519511469.837055,  0.617012
1519511469.866180,  0.545818
1519511469.895338,  0.664474
1519511469.924474,  0.664474
1519511469.953607,  0.569550
1519511469.982747,  0.711937
1519511470.011904,  0.664474
1519511470.041035,  0.640743
1519511470.070178,  0.830593
1519511470.099319,  0.711937
1519511470.128455,  0.830593
1519511470.157585,  0.830593
1519511470.186716,  0.854324
1519511470.215862,  0.878056
1519511470.244999,  0.806862
1519511470.274138,  0.759399
1519511470.303268,  0.783131
1519511470.332428,  0.711937
1519511470.361564,  0.664474
1519511470.390682,  0.617012
1519511470.419817,  0.545818
1519511470.448952,  0.593281
1519511470.478079,  0.688206
1519511470.507215,  0.569550
1519511470.536334,  0.735668
1519511470.565469,  0.545818
1519511470.594617,  0.806862
1519511470.623821,  0.783131
1519511470.652956,  0.640743
1519511470.682088,  0.711937
1519511470.711225,  0.759399
1519511470.740367,  0.759399
1519511470.769495,  0.783131
1519511470.798634,  0.783131
1519511470.827764,  0.759399
1519511470.856898,  0.711937
1519511470.886042,  0.664474
1519511470.915174,  0.806862
1519511470.944314,  0.522087
1519511470.973454,  0.759399
1519511471.002592,  0.735668
1519511471.031709,  0.569550
1519511471.060841,  0.545818
1519511471.089963,  0.617012
1519511471.119110,  0.593281
1519511471.148254,  0.617012
1519511471.177396,  0.545818
1519511471.206539,  0.308506
1519511471.235683,  0.688206
1519511471.264825,  0.711937
1519511471.293964,  0.759399
1519511471.323095,  0.735668
1519511471.352234,  0.711937
1519511471.381366,  0.735668
1519511471.410507,  0.759399
1519511471.439644,  0.735668
1519511471.468781,  0.735668
1519511471.497927,  0.711937
1519511471.527070,  0.783131
1519511471.556217,  0.711937
1519511471.585348,  0.498356
1519511471.614489,  0.688206
1519511471.643625,  0.617012
1519511471.672771,  0.403431
1519511471.701904,  0.474625
1519511471.731048,  0.379700
1519511471.760191,  0.379700
1519511471.789346,  0.759399
1519511471.818497,  0.688206
1519511471.847635,  0.545818
1519511471.876773,  0.664474
1519511471.905908,  0.545818
1519511471.935041,  0.735668
1519511471.964183,  0.878056
1519511471.993312,  0.901787
1519511472.022455,  1.020443
1519511472.051592,  1.067905
1519511472.080726,  1.091637
1519511472.109859,  0.949249
1519511472.138994,  0.949249
1519511472.168133,  0.972980
1519511472.197313,  0.972980
1519511472.226477,  0.949249
1519511472.255619,  0.901787
1519511472.284757,  0.498356
1519511472.313913,  0.688206
1519511472.343049,  0.545818
1519511472.372192,  0.450893
1519511472.401326,  0.545818
1519511472.430457,  0.498356
1519511472.459582,  0.166119
1519511472.488702,  0.593281
1519511472.517824,  0.379700
1519511472.546951,  0.688206
1519511472.576080,  0.735668
1519511472.605222,  0.474625
1519511472.634367,  0.711937
1519511472.663497,  0.640743
1519511472.692631,  0.783131
1519511472.721761,  0.498356
1519511472.750912,  0.522087
1519511472.780049,  0.759399
1519511472.809172,  0.593281
1519511472.838294,  0.284775
1519511472.867431,  0.403431
1519511472.896564,  0.094925
1519511472.925686,  0.237312
1519511472.954818,  -0.427162
1519511472.983951,  -0.166119
1519511473.013074,  0.047462
1519511473.042210,  0.664474
1519511473.071339,  0.213581
1519511473.100469,  0.000000
1519511473.129595,  0.664474
1519511473.158722,  0.308506
1519511473.187855,  0.498356
1519511473.216998,  0.498356
1519511473.246141,  0.355968
1519511473.275278,  0.569550
1519511473.304429,  0.545818
1519511473.333574,  0.783131
1519511473.362710,  0.522087
1519511473.391834,  0.664474
1519511473.420968,  0.711937
1519511473.450125,  -0.403431
1519511473.479265,  0.189850
1519511473.508419,  0.450893
1519511473.537561,  0.474625
1519511473.566707,  0.308506
1519511473.595841,  0.427162
1519511473.624972,  -0.261044
1519511473.654107,  0.142387
1519511473.683235,  0.237312
1519511473.712373,  -0.047462
1519511473.741510,  0.617012
1519511473.770646,  0.427162
1519511473.799788,  0.545818
1519511473.828926,  0.783131
1519511473.858063,  0.593281
1519511473.887200,  0.498356
1519511473.916328,  0.711937
1519511473.945470,  0.711937
1519511473.974626,  0.688206
1519511474.003831,  0.617012
1519511474.032968,  0.735668
1519511474.062149,  0.759399
1519511474.091285,  0.783131
1519511474.120420,  0.688206
1519511474.149546,  0.569550
1519511474.178674,  0.569550
1519511474.207812,  0.569550
1519511474.236966,  0.522087
1519511474.266100,  0.403431
1519511474.295225,  0.640743
1519511474.324361,  0.640743
1519511474.353500,  0.427162
1519511474.382629,  0.498356
1519511474.411757,  0.545818
1519511474.440886,  0.759399
1519511474.470019,  0.664474
1519511474.499150,  0.688206
1519511474.528276,  0.735668
1519511474.557394,  0.854324
1519511474.586520,  0.806862
1519511474.615659,  0.617012
1519511474.644789,  0.711937
1519511474.673929,  0.806862
1519511474.703051,  0.498356
1519511474.732186,  0.735668
1519511474.761355,  0.735668
1519511474.790479,  0.711937
1519511474.819606,  0.688206
1519511474.848733,  0.735668
1519511474.877857,  0.711937
1519511474.906987,  0.735668
1519511474.936100,  0.688206
1519511474.965221,  0.688206
1519511474.994357,  0.735668
1519511475.023492,  0.783131
1519511475.052630,  0.735668
1519511475.081751,  0.783131
1519511475.110888,  0.688206
1519511475.140023,  0.735668
1519511475.169163,  0.806862
1519511475.198295,  0.830593
1519511475.227443,  0.735668
1519511475.256576,  0.735668
1519511475.285712,  0.783131
1519511475.314845,  0.617012
1519511475.343977,  0.664474
1519511475.373123,  0.759399
1519511475.402296,  0.664474
1519511475.431453,  0.688206
1519511475.460635,  0.735668
1519511475.489786,  0.711937
1519511475.518947,  0.735668
1519511475.548104,  0.735668
1519511475.577267,  0.617012
1519511475.606426,  0.688206
1519511475.635582,  0.711937
1519511475.664753,  0.617012
1519511475.693914,  0.735668
1519511475.723066,  0.806862
1519511475.752192,  0.783131
1519511475.781321,  0.783131
1519511475.810453,  0.783131
1519511475.839590,  0.830593
1519511475.868722,  0.830593
1519511475.897854,  0.759399
1519511475.926990,  0.830593
1519511475.956112,  0.711937
1519511475.985246,  0.783131
1519511476.014380,  0.783131
1519511476.043579,  0.806862
1519511476.072721,  0.664474
1519511476.101854,  0.735668
1519511476.131172,  0.711937
1519511476.160303,  0.640743
1519511476.189563,  0.759399
1519511476.218683,  0.688206
1519511476.247816,  0.783131
1519511476.276947,  0.783131
1519511476.306081,  0.783131
1519511476.335211,  0.735668
1519511476.364354,  0.783131
1519511476.393488,  0.783131
1519511476.422634,  0.806862
1519511476.451771,  0.830593
1519511476.480911,  0.878056
1519511476.510052,  0.830593
1519511476.539191,  0.830593
1519511476.568332,  0.806862
1519511476.597474,  0.759399
1519511476.626615,  0.854324
1519511476.655745,  0.759399
1519511476.684880,  0.830593
1519511476.714013,  0.806862
1519511476.743147,  0.830593
1519511476.772300,  0.830593
1519511476.801436,  0.783131
1519511476.830565,  0.640743
1519511476.859812,  0.735668
1519511476.888943,  0.854324
1519511476.918074,  0.688206
1519511476.947213,  0.783131
1519511476.976391,  0.854324
1519511477.005523,  0.878056
1519511477.034680,  0.878056
1519511477.063825,  0.854324
1519511477.092953,  0.783131
1519511477.122083,  0.878056
1519511477.151225,  0.854324
1519511477.180358,  0.854324
1519511477.209487,  0.878056
1519511477.238619,  0.806862
1519511477.267763,  0.925518
1519511477.296895,  0.878056
1519511477.326024,  0.806862
1519511477.355134,  0.806862
1519511477.384278,  0.783131
1519511477.413416,  0.783131
1519511477.442565,  0.759399
1519511477.471703,  0.688206
1519511477.500844,  0.759399
1519511477.529980,  0.759399
1519511477.559111,  0.735668
1519511477.588242,  0.711937
1519511477.617378,  0.711937
1519511477.646514,  0.711937
1519511477.675636,  0.806862
1519511477.704796,  0.878056
1519511477.733946,  0.806862
1519511477.763086,  0.830593
1519511477.792225,  0.830593
1519511477.821404,  0.901787
1519511477.850574,  0.830593
1519511477.879702,  0.806862
1519511477.908845,  0.854324
1519511477.937982,  0.806862
1519511477.967116,  0.830593
1519511477.996247,  0.806862
1519511478.025393,  0.854324
1519511478.054528,  0.878056
1519511478.083668,  0.759399
1519511478.112799,  0.664474
1519511478.141928,  0.759399
1519511478.171067,  0.830593
1519511478.200239,  0.688206
1519511478.229372,  0.711937
1519511478.258512,  0.735668
1519511478.287649,  0.806862
